DiseaseName,DiseaseDescription
Abdominal pain,"What is abdominal pain?
Abdominal pain is any pain felt between your chest and groin. This is often referred to as the stomach region or belly. Pain can originate from any of the many organs within the abdomen, including:
Digestive organs (the end of the esophagus, the stomach, the small and large intestines, the liver, the gallbladder and the pancreas)
The aorta
The appendix
The kidneys
The spleen
However, the pain may start from somewhere else, like your chest or pelvic area. You may also have a generalized infection, such as the flu or strep throat, that affects many parts of your body.
Symptoms
Pain in the abdominal area.
Diagnosis
Many different conditions can cause abdominal pain. The key is to know when to seek medical care. Any of the following may cause abdominal pain:
Appendicitis
Bowel obstruction
Cholecystitis (inflammation of the gallbladder) with or without gallstones
Chronic constipation 
Dissecting abdominal aortic aneurysm
Diverticular disease, including diverticulitis
Early-stage shingles (a viral infection where pain begins before the appearance of a rash)
Excessive gas
Food allergy
Food poisoning (salmonella, shigella)
Gastroesophageal reflux 
Heartburn or indigestion
Hernia
Infectious mononucleosis
Inflammatory bowel disease (Crohn's disease or ulcerative colitis) 
Intussusception (While uncommon, this is a serious possible cause of pain in an infant who may be bringing the knees to the chest and crying.)
Irritable bowel syndrome 
Kidney stones
Lactose intolerance
Pancreatitis (inflammation of the pancreas)
Parasitic infections (Giardia)
Sickle cell crisis
Spinal fracture
Ulcers
Urinary tract infections
Viral gastroenteritis (stomach flu)
Diagnostic tests may include:
Barium enema
Upper gastrointestinal (GI) and small bowel series
Blood, urine and stool tests
Endoscopy of upper GI tract (esophagogastroduodenoscopy, or EGD)
Ultrasound of the abdomen
X-rays of the abdomen
In infants, prolonged unexplained crying (often called colic) may be caused by abdominal pain that may end with the passage of gas or stool. Colic is often worse in the evening. Cuddling and rocking the child may bring some relief.
Treatment
Seek immediate medical help if your child:
Is unable to pass stool, especially with vomiting
Is vomiting blood or has blood in his or her stool (especially if maroon or dark, tarry black)
Has chest, neck or shoulder pain
Has sudden, sharp abdominal pain
Has pain in his or her shoulder blades with nausea
Belly is rigid, hard and tender to touch
Call the doctor if your child has:
Abdominal discomfort that lasts one week or longer
Bloating that persists for more than two days
Burning sensation when you urinate or frequent urination
Diarrhea for more than five days, or if your infant or child has diarrhea for more than two days or vomiting for more than 12 hours (Call right away if a baby younger than three months has diarrhea or vomiting.)
Fever over 100.4 degrees Farhenheit with pain
Prolonged poor appetite
Unexplained weight loss "
ACL injury,"WHAT YOU NEED TO KNOW
ACL injuries are more common among girls than boys.
Treatment for ACL injuries in children requires special consideration because of the location of growth plates.
ACL injuries are classified by grades 1, 2, and 3.
Depending on the grade of ACL injury, the patient’s age, and level of athleticism, non-operative or surgical treatments may be recommended."
Acne,"What is acne?
Acne is a disorder of the hair follicles and sebaceous glands. Hair follicles are the areas around the base or root of each hair. Sebaceous glands are the tiny glands that release oil (sebum) into the hair follicles. The sebum moistens the skin and hair. The sebum and hair get to the skin surface through tiny holes called pores. 
Acne is very common. Most children and young adults between ages 11 and 30 will have acne at some point. Acne most often begins in puberty. But it can happen at any age. There are different types of acne that affect newborns, infants, younger children, and adults. 
Acne may occur when the pores gets clogged with dead skin cells and oil. Bacteria that are normally on the skin may also get into the clogged pore. Acne comes in several types. One type is a comedone. This is a plug of sebum in the hair follicle. They are either closed whiteheads, or open blackheads. These are not inflamed or infected.
Inflamed acne causes red, painful bumps or sores. The sores may be infected with bacteria. This type of acne includes:
Pustule: Bacteria cause the hair follicle to be inflamed. Pustules are closer to the skin surface.
Papule: The wall of the hair follicle gets irritated. Papules are deeper in the skin.
Nodule: These are larger, deeper, and more solid.
Cyst: This is a nodule with pus.
What causes acne?
The cause of acne is not fully understood. Acne is linked with:
Hormonal changes during puberty, pregnancy, and the menstrual cycle
Rising levels of male sex hormones (androgens) in both boys and girls during puberty that causes more sebum and more dead skin cells
Using makeup or cosmetics that block the pores
Using certain products to wash the skin
Wearing clothes that rub or irritate the skin
High levels of moisture in the air (humidity) and sweating
Taking certain medicines, such as corticosteroids    
Who is at risk for acne?
Being a teen (adolescent) is the greatest risk factor for acne. A family history also increases the risk for severe acne.
What are the symptoms of acne?
Acne can occur anywhere on the body. It is most common in areas where there are more sebaceous glands, such as:
Face
Chest
Upper back
Shoulders
Neck
Symptoms can occur a bit differently in each child. They can include:
Small bumps that are skin-colored or white (whiteheads)
Small bumps that are dark in color (blackheads)
Red, pus-filled pimples that may hurt
Solid, raised bumps (nodules)
Darker areas of skin
Scarring
The symptoms of acne can be like other health conditions. Make sure your child sees his or her healthcare provider for a diagnosis.
How is acne diagnosed?
The healthcare provider will ask about your child’s symptoms and health history. He or she will look at the areas of the body with acne. The provider may advise that your child see a doctor who specializes in skin care (dermatologist).
How is acne treated?
Treatment will depend on your child’s symptoms, age, and general health. It will also depend on how severe the condition is. The goal of acne treatment is to improve the skins appearance and to lessen the chance of scarring. Treatment for acne will include gentle, regular skin care. Your child's healthcare provider may advise:
Non-prescription cleansers and creams, lotions, gels, or other products
Prescriptions that are put on the skin (topical) or taken by mouth (oral)
Other therapies or procedures, such as laser therapy, light therapy, or chemical peels
Draining of a cyst, or injecting it with medicine
Topical medicines are often prescribed to treat acne. These can be in the form of a cream, gel, lotion, or liquid. These may include:
Benzoyl peroxide: This kills bacteria.
Antibiotics: These help stop or slow down the growth of bacteria. They also reduce inflammation.
Tretinoin: This stops new comedones from forming. It also encourages new skin cell growth and unplugs pimples.
Adapalene: This helps stop new comedones from forming.
Medicines to take by mouth may be prescribed, such as:
Antibiotic medicines: These may include tetracycline, doxycycline, or erythromycin. They are used to treat moderate to severe acne. 
Isotretinoin: This may be prescribed for severe acne that can’t be treated by other methods. It helps to prevent new acne and scarring.
What are possible complications of acne?
Acne can cause problems with self-esteem. It may cause emotional problems. It may result in depression, anxiety, and even suicidal thoughts. Severe or long-term acne may cause scarring. Serious infections may also develop.
Living with acne
Acne can be a long-term condition. Early treatment can help to prevent or lessen severe acne. Help your child by:
Reminding your child to not pick, pop, or squeeze acne, which can spread infection and cause scars
Talking with your child's healthcare provider if over-the-counter treatments don’t work well
Considering taking your child to a dermatologist for long-term or severe acne
Making sure your child stops acne treatment slowly, not quickly, once acne clears
Having your child treat acne a few times a week to prevent it from returning, if needed
Making sure your child does skin care regularly and gently
When should I call my child's healthcare provider?
Call your child's healthcare provider if: 
Your child is upset by his or her acne
The acne is getting worse
Over-the-counter treatments are not working
Key points about acne
Acne is a disorder of the hair follicles and sebaceous glands.
Acne may happen when the pores gets clogged with dead skin cells and oil. Bacteria that are normally on the skin may also get into the clogged pore.
Most teens and young adults between 11 and 30 years old will have acne at some point.
Both over-the-counter and prescription medicines are available to treat acne.
Acne can have an emotional effect. This can lead to depression, anxiety, and even suicidal thoughts.
Scarring can result from severe or long-term acne.
Next steps
Tips to help you get the most from a visit to your child’s health care provider:
Before your visit, write down questions you want answered.
At the visit, write down the names of new medicines, treatments, or tests, and any new instructions your provider gives you for your child.
If your child has a follow-up appointment, write down the date, time, and purpose for that visit.
Know how you can contact your child’s provider after office hours. This is important if your child becomes ill and you have questions or need advice."
Acute liver failure,"Acute Liver Failure
This alarming syndrome usually occurs in a previously well infant, child or adolescent and can be caused by a number of infectious or metabolic causes and reactions to medication.
Jaundice occurs rapidly, often in concert with gastrointestinal symptoms like vomiting and fever.
We are committed to serving children with this disorder as soon as we are notified and work with our emergency transport team, intensive care specialists and if necessary, our pediatric liver surgeons to provide 24-hour care for the best outcome possible for children with this condition.
What is alpha-1 antitrypsin deficiency?
Alpha-1 antitrypsin (A1AT) deficiency is an inherited disease in which a protein known as A1AT is unable to be released from the liver into the blood in adequate amounts. This causes a deficiency of the A1AT protein in the circulation. A1AT is a specialized protein that blocks the action of other proteins important in inflammation (swelling) and breakdown of tissues in the body. When the A1AT protein is deficient in the circulation, tissue inflammation and tissue damage is more severe, especially in the lungs. The defective A1AT protein that remains in the liver may cause liver inflammation (hepatitis) that can progress to cirrhosis (permanent liver scarring) and liver failure.
A1AT deficiency is quite common, with about 1 in 1,500 to 2,000 people affected. Both parents must be carriers of the genetic defect to have a child with A1AT deficiency. Although carrier parents partially produce the abnormal A1AT protein, they usually have no — or very minimal — symptoms and they may not realize they are partially affected until their child is diagnosed with the condition.
Symptoms
About 10 percent of newborns with liver disease will be diagnosed with A1AT deficiency. Newborns may develop jaundice as part of inflammation of the liver associated with A1AT deficiency. Older children and teens can present with a liver that has been inflamed for a long time, causing scarring (cirrhosis) to develop. Lung disease usually develops only in adulthood. Adults with A1AT deficiency may have difficulties with chronic obstructive pulmonary disease (COPD), emphysema, chronic bronchitis, asthma, coughing and repeated lung infections.
Diagnosis
Testing is usually done when a child has liver inflammation of uncertain cause or when a family history suggests A1AT liver disease. The standard screening test is to measure the amount of A1AT protein in the circulation. In cases of A1AT deficiency, the serum A1AT level will be low. When a low A1AT level is found, an additional test is usually done to identify the types of abnormal A1AT proteins that are in the circulation. In rare cases, a more detailed analysis of the DNA in the gene may be necessary.
The amount of liver swelling and damage can be assessed by ultrasonography (sonogram) of the abdomen, blood tests of liver inflammation and function and a liver biopsy, where a small piece of liver tissue is obtained and then examined under the microscope to search for changes typical of A1AT deficiency.
Treatment
There is no cure for A1AT deficiency. Therapy involves controlling symptoms and attempting to prevent the development of complications. To protect their lungs, it is very important that the affected person and those around them not smoke. Vaccinations to protect against viruses, such as hepatitis A and hepatitis B, that can further damage the liver should be given. It is difficult to predict how severely a liver will be affected. Liver function tests are followed over time. Some patients may have minimal liver disease during their entire lifetime; however, a small number will eventually require liver transplant.
Cirrhosis or Chronic Liver Failure
Cirrhosis or chronic liver failure can be caused by a number of the liver and biliary diseases listed in Clinical Services or sometimes appear without known cause. Our approach to pediatric patients with this problem is to start with a thorough history and physical examination and nutritional assessment.
We also have a frank discussion with the patient and family about what is involved in the evaluation for a life-saving liver transplant.
Liver Cyst or Tumor
There are multiple benign and malignant malformations or tumors that can occur in the liver of a child.
Our approach begins with a thorough review of medical records and imaging studies. We work closely with our interventional radiologists and surgeons to establish an accurate diagnosis as quickly as possible.
If the diagnosis is a malignant tumor, then we work with the pediatric oncologists and pediatric surgeons to decide the very best approach, which may include chemotherapy, radiation, embolization, surgical removal and/or liver transplantation."
Achondroplasia,"WHAT YOU NEED TO KNOW
Achondroplasia is the most common form of skeletal dysplasia, occurring in about one in every 40,000 births.
Achondroplasia impairs the growth of bone in the limbs and causes abnormal growth in the spine and skull.
Although the cause is a genetic mutation, only about one out of five cases is hereditary (passed down by a parent)."
Acute rheumatic fever,"What is acute rheumatic fever?
Rheumatic fever is an inflammatory disease that may develop after an infection with a streptococcus bacteria (such as in strep throat or scarlet fever). The disease can affect the joints, heart, skin and brain. 
Symptoms
Symptoms include: 
Fever
Joint pain, arthritis
Joint swelling, redness
Abdominal pain
Skin rash
Diagnosis
Diagnosis requires careful clinical evaluation, including possible blood screening for recurrent strep infection. 
Treatment
Anti-inflammatory medications, such as aspirin or corticosteroids, reduce inflammation to help manage the disease. Patients who test positive for strep throat should be treated with antibiotics."
ADHD,"What is ADHD?
ADHD, also called attention-deficit disorder, is a behavior disorder, usually first diagnosed in childhood, that is characterized by inattention, impulsivity, and, in some cases, hyperactivity. These symptoms usually occur together; however, one may occur without the other(s).
The symptoms of hyperactivity, when present, are almost always apparent by the age of 7 and may be present in very young preschoolers. Inattention or attention-deficit may not be evident until a child faces the expectations of elementary school.
What are the different types of ADHD?
Three major types of ADHD include the following:
ADHD, combined type. This, the most common type of ADHD, is characterized by impulsive and hyperactive behaviors as well as inattention and distractibility.
ADHD, impulsive/hyperactive type. This, the least common type of ADHD, is characterized by impulsive and hyperactive behaviors without inattention and distractibility.
ADHD, inattentive and distractible type. This type of ADHD is characterized predominately by inattention and distractibility without hyperactivity.
What causes attention-deficit/hyperactivity disorder?
ADHD is one of the most researched areas in child and adolescent mental health. However, the precise cause of the disorder is still unknown. Available evidence suggests that ADHD is genetic. It is a brain-based biological disorder. Low levels of dopamine (a brain chemical), which is a neurotransmitter (a type of brain chemical), are found in children with ADHD. Brain imaging studies using PET scanners (positron emission tomography; a form of brain imaging that makes it possible to observe the human brain at work) show that brain metabolism in children with ADHD is lower in the areas of the brain that control attention, social judgment, and movement.
Who is affected by attention-deficit/hyperactivity disorder?
Estimates suggest that about 4% to 12% of children have ADHD. Boys are 2 to 3 times more likely to have ADHD of the hyperactive or combined type than girls.
Many parents of children with ADHD experienced symptoms of ADHD when they were younger. ADHD is commonly found in brothers and sisters within the same family. Most families seek help when their child's symptoms begin to interfere with learning and adjustment to the expectations of school and age-appropriate activities.
What are the symptoms of attention-deficit/hyperactivity disorder?
The following are the most common symptoms of ADHD. However, each child may experience symptoms differently. The 3 categories of symptoms of ADHD include the following:
Inattention:
Short attention span for age (difficulty sustaining attention)
Difficulty listening to others
Difficulty attending to details
Easily distracted
Forgetfulness
Poor organizational skills for age
Poor study skills for age
Impulsivity:
Often interrupts others
Has difficulty waiting for his or her turn in school and/or social games
Tends to blurt out answers instead of waiting to be called upon
Takes frequent risks, and often without thinking before acting
Hyperactivity:
Seems to be in constant motion; runs or climbs, at times with no apparent goal except motion
Has difficulty remaining in his/her seat even when it is expected
Fidgets with hands or squirms when in his or her seat; fidgeting excessively
Talks excessively
Has difficulty engaging in quiet activities
Loses or forgets things repeatedly and often
Inability to stay on task; shifts from one task to another without bringing any to completion
The symptoms of ADHD may resemble other medical conditions or behavior problems. Keep in mind that many of these symptoms may occur in children and teens who do not have ADHD. A key element in diagnosis is that the symptoms must significantly impair adaptive functioning in both home and school environments. Always consult your child's doctor for a diagnosis.
How is attention-deficit/hyperactivity disorder diagnosed?
ADHD is the most commonly diagnosed behavior disorder of childhood. A pediatrician, child psychiatrist, or a qualified mental health professional usually identifies ADHD in children. A detailed history of the child's behavior from parents and teachers, observations of the child's behavior, and psychoeducational testing contribute to making the diagnosis of ADHD. Because ADHD is a group of symptoms, diagnosis depends on evaluating results from several different sources, including physical, neurological, and psychological testing. Certain tests may be used to rule out other conditions, and some may be used to test intelligence and certain skill sets. Consult your child's doctor for more information.
Treatment for attention-deficit/hyperactivity disorder
Specific treatment for attention-deficit/hyperactivity disorder will be determined by your child's doctor based on:
Your child's age, overall health, and medical history
Extent of your child's symptoms
Your child's tolerance for specific medications or therapies
Expectations for the course of the condition
Your opinion or preference
Major components of treatment for children with ADHD include parental support and education in behavioral training, appropriate school placement, and medication. Treatment with a psychostimulant is highly effective in most children with ADHD.
Treatment may include:
Psychostimulant medications. These medications are used for their ability to balance chemicals in the brain that prohibit the child from maintaining attention and controlling impulses. They help ""stimulate"" or help the brain to focus and may be used to reduce the major characteristics of ADHD.
Medications that are commonly used to treat ADHD include the following:
Methylphenidate (Ritalin, Metadate, Concerta, Methylin)
Dextroamphetamine (Dexedrine, Dextrostat)
A mixture of amphetamine salts (Adderall)
Atomoxetine (Strattera). A nonstimulant SNRI (selective serotonin norepinephrine reuptake inhibitor) medication with benefits for related mood symptoms. 
Lisdexamfetamine (Vyvanse)
Psychostimulants have been used to treat childhood behavior disorders since the 1930s and have been widely studied. Traditional immediate release stimulants take effect in the body quickly, work for 1 to 4 hours, and then are eliminated from the body. Many long-acting stimulant medications are also available, lasting 8 to 9 hours, and requiring 1 daily dosing. Doses of stimulant medications need to be timed to match the child's school schedule to help the child pay attention for a longer period of time and improve classroom performance. The common side effects of stimulants may include, but are not limited to, the following:
Insomnia
Decreased appetite
Stomach aches
Headaches
Jitteriness
Rebound activation (when the effect of the stimulant wears off, hyperactive and impulsive behaviors may increase for a short period of time)
Most side effects of stimulant use are mild, decrease with regular use, and respond to dose changes. Always discuss potential side effects with your child's doctor.

Antidepressant medications may also be administered for children and adolescents with ADHD to help improve attention while decreasing aggression, anxiety, and/or depression.
Psychosocial treatments. Parenting children with ADHD may be difficult and can present challenges that create stress within the family. Classes in behavior management skills for parents can help reduce stress for all family members. Training in behavior management skills for parents usually occurs in a group setting which encourages parent-to-parent support. Behavior management skills may include the following:
Point systems
Contingent attention (responding to the child with positive attention when desired behaviors occur; withholding attention when undesired behaviors occur)
Teachers may also be taught behavior management skills to use in the classroom setting. Training for teachers usually includes use of daily behavior reports that communicate in-school behaviors to parents. Behavior management techniques tend to improve targeted behaviors (such as completing school work or keeping the child's hands to himself or herself), but are not usually helpful in reducing overall inattention, hyperactivity, or impulsivity.
Prevention of attention-deficit/hyperactivity disorder
Preventive measures to reduce the incidence of ADHD in children are not known at this time. However, early detection and intervention can reduce the severity of symptoms, decrease the interference of behavioral symptoms on school functioning, enhance the child's normal growth and development, and improve the quality of life experienced by children or adolescents with ADHD."
Alagille syndrome,"What is alagille syndrome?
Alagille syndrome is an inherited condition in which bile builds up in the liver because there are too few bile ducts to drain the bile. This results in liver damage.
Your liver makes bile to help remove waste from your body. It also helps digest fats and the fat-soluble vitamins A, D, E, and K. The body can use these vitamins only if they are combined with fat from the foods you eat. Bile ducts are the channels that move bile out of your liver. If you do not have enough of these ducts, bile builds up in your liver. It damages your liver tissues, and ultimately can cause your liver to fail. As treatment options increase, people with this condition live longer, more comfortable lives, especially if the condition is discovered early. About 75% of people diagnosed with the syndrome in childhood live to at least age 20.
What causes alagille syndrome?
Alagille syndrome is related to the JAG1 gene mutation. It may be passed from parent to child. If you have one parent with Alagille syndrome, you have a 50% chance of developing the condition. It appears in one out of 70,000 babies and occurs in both sexes. However, about half the time, the mutation is new and not from a parent.
What are the symptoms of alagille syndrome?
Symptoms of Alagille syndrome usually appear in the first two years of life. The following are the most common symptoms of Alagille syndrome. However, each person may experience symptoms differently. Symptoms may include:
Yellow skin or eyes. Bile is colored with a pigment called bilirubin. Some of the changes you might see when your liver isn’t able to get rid of bile well enough are related to this pigment. If bile isn’t leaving your body properly, you may have yellowish skin and yellowing in the whites of your eyes, called jaundice. Your stool may appear pale, gray, or white because of a lack of bile. Your urine also can appear a darker color. A newborn may have jaundice for a few days or weeks until his or her liver works more effectively.
Itchy skin. Increased bilirubin in your body can cause an itching sensation, called pruritus.
Delayed growth. Alagille syndrome can make it hard for the body to use nutrients, such as fat-soluble vitamins. This can affect growth and normal development.
Hard skin bumps. Yellow growths called xanthomas are small amounts of fat that collect under the skin because of high cholesterol levels in your body.
Heart murmur. This is caused by narrower-than-normal blood vessels that take blood from the heart to the lungs.
Changes in blood vessels. The blood vessels in the head and neck may be formed abnormally. Other blood vessels can also become smaller or unusually shaped. These changes in blood vessels can lead to serious health problems such as stroke.
Facial characteristics. Children with this condition may have deep-set eyes; a prominent, wide forehead; a straight nose; and a pointed, small chin. These characteristics may not be visible until after infancy.
Spinal growth changes. Bones in the spine may appear different on X-rays but usually don’t cause any difficulties for patients and aren’t visible to the naked eye.
Kidney disease. Kidneys may be smaller, contain cysts, or simply work less efficiently.
Enlarged spleen. Because the liver isn’t able to rid itself of excess fluids effectively, blood may back up into the spleen. This can cause the spleen to swell. The spleen’s job is to help clean the blood and prevent infection. An enlarged spleen is more likely to be injured, especially in sports play.
White ring in the eye. A ring on the cornea, called a posterior embryotoxon, is a classic sign of the syndrome. The ring is visible during an eye exam.
The symptoms of Alagille syndrome may look like other medical conditions or problems. Always consult your healthcare provider for a diagnosis.
How is alagille syndrome diagnosed?
Your healthcare provider will perform an exam and obtain a medical history. Other tests may be done to evaluate whether you have Alagille syndrome may include:
Liver biopsy
Heart and blood vessel tests
Eye exams
Spine X-ray
Abdominal ultrasound
Kidney function tests
Genetic testing
A diagnosis of Alagille syndrome is confirmed by a liver biopsy that shows fewer bile ducts than normal and at least 3 of these symptoms:
Face shapes characteristic of Alagille syndrome
Unusual bone/spine structures such as a butterfly vertebrae
Unusual heart/blood vessel structures or a heart murmur
Liver problems
A characteristic white ring on the cornea
How is alagille syndrome treated?
Your healthcare provider will figure out the best treatment for you based on:
Your age
Your overall health and past health
How sick you are
How well you can handle specific medicines, procedures, or therapies
How long the condition is expected to last
Your opinion or preference
Specific treatments for Alagille syndrome may include:
Medicine to increase bile flow out of the liver
Medicine to relieve itching sensations
Skin care, such as moisturizers, to reduce itching
Vitamin supplements
High-calorie food supplements
Surgery to redirect bile so that less bilirubin ends up in your blood
Liver transplant in the case of liver failure
What are the complications of alagille syndrome?
Bleeding into the brain
Bone fractures
Death
Delayed mental or physical growth or failure to thrive
Diarrhea
Heart disease
Kidney failure
Liver failure, which happens in about 15% of those affected
Malnutrition
Pancreas disease
Problems with the eyes
Can alagille syndrome be prevented?
Genetic testing and a discussion of the inherited risks within your family may help you make informed decisions about preventing this disease in future generations.
Living with alagille syndrome
Alagille syndrome affects many organs and aspects of your life. Make sure you:
Work closely with your medical team to increase bile flow and treat symptoms, such as itching, related to bile backup.
Ask questions if you do not understand how to use medicines.
Follow instructions for diet or lifestyle changes to improve health and comfort.
When to call the doctor about alagille syndrome
Alagille syndrome has wide-ranging effects that may be different as the years go by and your treatment may need to be changed. Talk with your medical team to find out which signs and symptoms require immediate medical attention. In general, be aware of the symptoms listed above. Contact your healthcare provider if symptoms get worse despite treatment or if new symptoms appear.
Key points
Alagille syndrome is a genetic disorder in which you have fewer bile ducts than normal in your liver.
Alagille syndrome can be passed from parent to child or happen naturally.
Alagille syndrome not only affects the liver, it can also cause skin, heart, facial, kidney, and eye abnormalities.
Treatment for Alagille syndrome can prevent or minimize complications and improve quality of life.
Treatment needs to change over time, so it is important to work with your healthcare provider.
Genetic counseling can help you understand your family’s risk for Alagille syndrome."
Allergic conjunctivitis,"What is conjunctivitis in children?
Conjunctivitis or pink eye is an irritation of the conjunctiva of the eye. The conjunctiva is the membrane that lines the inside of the eyelids. It also covers the actual eye.
What causes conjunctivitis in children?
There are many different causes of this problem. The following are the most common causes:
Bacteria
Viruses
Chemicals used in medicines for the eye
Allergies
Conjunctivitis is usually divided into at least two categories: newborn conjunctivitis and childhood conjunctivitis. Each has different causes and treatments.
Newborn
The following are the most common causes for the conjunctivitis in newborns:
Infection from the gonorrhea virus passed on during childbirth
Infection from Chlamydia passed on during childbirth
Reaction to chemicals in eye drops
Other bacterial causes
Children
This is a very common problem in children. Also, large outbreaks of conjunctivitis are often seen in day cares and schools. These are the most common causes:
Bacteria
Viruses
Allergies
Herpes infection
What are the symptoms of conjunctivitis in children?
The following are the most common symptoms of the condition. However, each child may experience symptoms differently. Symptoms may include:
Gritty feeling in one or both eyes
Itchy, irritated eyes
Clear, thin drainage and increased tearing
Sneezing and runny nose
Stringy discharge from the eyes
Thick, green drainage from the eyes
Ear infection
Lesion with a crusty appearance
Eyes that are matted together in the morning
Swelling of the eyelids
Pink or red discoloration of the whites of one or both eyes
Discomfort when the child looks at a light
Burning in the eyes
The symptoms of conjunctivitis sometimes look like other medical problems. Always see your child’s health care provider for a diagnosis.
How is conjunctivitis in children diagnosed?
Conjunctivitis is usually diagnosed based on a complete medical history and physical examination of your child’s eye. Cultures of the eye drainage are usually not required. However, cultures may be done to help confirm the cause of the infection.
How is conjunctivitis in children treated?
Your child’s health care provider will figure out the best treatment for your child based on:
How old your child is
His or her overall health and medical history
How sick he or she is
How well you can handle specific medications, procedures, or therapies
How long the condition is expected to last
Your opinion or preference
The symptoms of conjunctivitis sometimes look like other conditions or medical problems. Always see your child’s health care provider for a diagnosis.

Infection can spread from one eye to the other. It can also spread to other people by touching the affected eye or drainage from the eye. Proper hand washing is very important. Also avoid touching your eyes with your hands, change pillowcases often, and do not reuse tissues or hand towels on your face. Drainage from the eye is contagious for 24 to 48 hours after starting treatment.
The condition will be treated based on its cause. Treatment can include:
Allergy drops for the eye
Antibiotic drops for the eye
Pills
What are the complications of conjunctivitis in children?
The condition usually does not have long-term complications. However, herpes can cause a serious type of infections. It may result in scarring of the eye and loss of vision if it is not treated properly right away.
When should I call my child’s healthcare provider?
If your child’s symptoms get worse or your child has new symptoms, call your child’s healthcare provider.
Key points about conjunctivitis in children
Conjunctivitis is an inflammation of the conjunctiva of the eye
Conjunctivitis can be caused by bacteria, viruses, chemicals, or allergies
Symptoms of conjunctivitis include gritty feeling in one or both eyes, burning, itchy, irritated eyes, drainage from the eyes, pink or red eyes, sneezing, and ear infections
Treatment of the condition will vary based on the cause
Next steps
Tips to help you get the most from a visit to your child’s health care provider:
Before your visit, write down questions you want answered.
At the visit, write down the names of new medicines, treatments, or tests, and any new instructions your provider gives you for your child.
If your child has a follow-up appointment, write down the date, time, and purpose for that visit.
Know how you can contact your child’s provider after office hours. This is important if your child becomes ill and you have questions or need advice."
Allergic pulmonary aspergillosis,"What is allergic pulmonary aspergillosis?
Allergic pulmonary aspergillosis is an allergic reaction to a fungus called aspergillus, which causes inflammation of the airways and air sacs of the lungs. Although most people are frequently exposed to aspergillus, which can grow on dead leaves and other decaying vegetation, infections caused by it, such as a pneumonia or fungus ball (aspergilloma), are rare. Some people, however, have an allergic reaction to this fungus, which is called allergic bronchopulmonary aspergillosis (ABPA). The disease may mimic asthma or pneumonia; in fact, most patients with ABPA have asthma as well.
Symptoms
Worsening symptoms of asthma
Wheezing
Cough may produce brownish plugs or bloody sputum
Fever
Diagnosis
Exams and tests include:
Serum IgE antibodies
Aspergillus antigen skin test
Serum aspergillus antibodies
Chest X-ray
CT scan of the chest
Sputum stain and culture for fungus
Bronchoscopy and transbronchial biopsy
Lung biopsy (rare)
Treatment
Allergic aspergillosis is treated with prednisone. The anti-fungal antibiotic itraconazole can also be helpful. People with asthma should also continue their usual treatments.
Prognosis
The response to therapy is usually good, with improvement over time. Relapses requiring repeat treatment are common.
Prevention
People with predisposing factors like asthma or cystic fibrosis should try to avoid environments where this fungus is found if possible.
Information about this condition, its diagnosis and treatment is provided by physicians, nurses and other clinical staff in the Division of Pulmonary Medicine at Johns Hopkins Children's Center."
