,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
0,"['Severe, crampy abdominal pain', 'Nausea and vomiting', 'Swelling of the abdomen (abdominal distension)', 'Inability to pass gas and absent or infrequent bowel movements', 'Signs of dehydration, including dry skin, dry mouth and tongue, severe thirst, infrequent urination, fast heart rate and low blood pressure']",abdominal-adhesions,,,
1,"['Pain in the:', 'Abdomen', 'Back', 'Fleshy part of the sides, between the bottom of the ribs and hips', 'A feeling of fullness after eating a small meal', 'Nausea and vomiting', 'A pulsating mass in the abdomen']",abdominal-aortic-aneurysm,,"['3.0 to 3.9 centimeters, imaging every three years', '4.0 to 4.9 centimeters, imaging every 12 months', '5.0 to 5.4 centimeters, imaging every 6 months']","['Monitor your blood sugar frequently', 'Follow a healthy diet', 'Keep your blood pressure in the normal range', 'Aim for an LDL cholesterol less than 100 mg/dL, using medication if necessary']"
2,"['Abdominal aorta and other blood vessels in the abdomen', 'Bladder', 'Gallbladder', 'Kidneys', 'Liver', 'Pancreas', 'Spleen']",abdominal-ultrasound,,,
3,"['Difficulty swallowing solid food. Swallowing liquids is not affected in the early stages.', 'Regurgitation or vomiting of undigested food', 'Chest pain, discomfort, or fullness under the breastbone, especially following meals', 'Difficulty belching', 'Difficulty swallowing solids and liquids (late in the illness)', 'Weight loss (late in the illness)']",achalasia,,"['Your general condition', ""Your doctor's expertise with various techniques"", 'Personal choice', 'Prior treatments']",['Manometry. Manometry is a key test in diagnosing achalasia. A thin tube will be passed through your nose into your stomach. Pressure in your esophagus and at the sphincter will be recorded while you drink sips of water . The tube will be slowly withdrawn. The pattern of pressure measurements can indicate whether a person has achalasia.']
4,"['Oily cosmetics ', 'Humidity ', 'Heavy sweating ', 'Problems with the ovaries or adrenal glands ', 'Drugs such as: ', 'Lithium  ', 'Steroids, both prescription steroids and potentially harmful ""body-building"" steroids  ']",acne,,"['Menstrual history ', 'Patterns of hair growth ', 'Cosmetics ', 'Facial cleansers  ', 'Medications ']","['Nodules and cysts. These are larger infections of the hair follicles. They extend deeper into the skin, forming firm, deep bumps and swellings. Like pimples, they are caused by increased sebum production and bacterial growth, which cause irritation and redness.  ']"
5,"['Loss of hearing in one ear — This usually is gradual, but can occur suddenly in 10% of cases.', 'Tinnitus, a ringing, buzzing or noisy sound in the ear when there is no external sound present.']",acoustic-neuroma,,,
6,"['persistent painful conditions including low back pain and pain related to arthritis', 'headaches', 'post-operative pain', 'adverse reactions to chemotherapy and radiation therapy', 'addiction', 'hot flashes and other menopausal symptoms']",acupuncture,,,
7,"['Using a vaporizer or humidifier  ', 'Standing in or near a hot shower  ', 'Drinking hot tea or soup  ', 'Breathing in the steam from a sink or pot filled with hot water. You can catch more of the steam by tenting a towel over your head while bending over the water. For safety reasons, do not breathe from a pot of boiling water that is still on the stove.  ']",acute-bronchitis,,,
8,"['Use of any of a wide variety of medications, such as', 'Sulfa drugs', 'Water pills (hydrochlorothiazide, others)', 'Immunosuppressants (azathioprine)', 'Drugs used to treat HIV', 'Abdominal surgery', 'Severe trauma', 'Metabolic conditions, such as high blood levels of calcium or triglycerides', 'Some infections, such as mumps or viral hepatitis']",acute-pancreatitis,,"['Intense abdominal pain that lasts longer than 30 minutes', 'Pain accompanied by vomiting or severe nausea']","['Drain a pseudocyst', 'Treat an abscess', 'Stop bleeding']"
9,"['Burning or dribbling with urination  ', 'Difficulty starting the urine stream or total inability to pass urine at all  ', 'Cloudiness or blood in the urine  ', 'Pain above the penis, in or below the scrotum, in the back or in the rectum  ', 'Fever and chills  ', 'Flu-like symptoms including muscle aches and general weakness']",acute-prostatitis,,,
10,"['Viral infections, such as a common cold ', 'Allergies ', 'Air pollution and cigarette smoke ', 'Dental infections ', 'Narrowed nasal passages from nasal polyps']",acute-sinusitis,,"['Augmentin', 'Azithromycin Dose Pack', 'Levaquin', 'Zithromax', 'amoxicillin']","['Pseudoephedrine (Sudafed) is available without prescription, alone or in combination with other medications in multi-symptom cold and sinus remedies. Pseudoephedrine can cause insomnia, racing pulse and jitteriness. Do not use if you have high blood pressure or a heart condition. Phenylephrine (such as Sudafed PE) is an alternative over-the-counter oral decongestant.  If you take products containing oral phenylephrine, check with the pharmacist to be certain there is no interaction with other medications you take. ', 'Oxymetazoline (Afrin, Dristan and others) and phenylephrine (Neo-Synephrine and others) are found in nasal sprays. They are effective and may be less likely to cause the side effects seen with pseudoephedrine. However, using a nasal decongestant for more than three days can cause worse symptoms when you stop the medication. This is called the rebound effect. ']"
