,information,drug_name,avoid_if,side_effects,usual_dose
0,['Acetaminophen is a pain reliever and a fever reducer.'],Acetaminophen,"['Adults and teenagers at least 12 years old: Do not take more than 1000 milligrams (mg) at one time or more than 4000 mg in 24 hours.', ""Children younger than 12 years old: Do not take more than 5 doses of children's formula acetaminophen in 24 hours.""]","['you still have a sore throat after 2 days of use;', 'you still have a fever after 3 days of use;', 'you still have pain after 7 days of use (or 5 days if treating a child);', 'you have a skin rash, ongoing headache, nausea, vomiting, redness or swelling; or', 'your symptoms get worse, or if you have any new symptoms.']",['Stop taking this medicine and call your doctor if:']
1,['Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.'],Adderall,"['heart problems or a congenital heart defect;', 'high blood pressure; or', 'a family history of heart disease or sudden death.']","['depression, anxiety, mental illness, bipolar disorder, psychosis, problems with aggression, or suicidal thoughts or actions;', ""motor tics (muscle twitches) or Tourette's syndrome;"", 'seizures or epilepsy;', 'an abnormal brain wave test (EEG); or', 'liver or kidney disease; or', 'blood circulation problems in the hands or feet.']","['Store at room temperature away from moisture, heat, and light.']"
2,['Amitriptyline is a tricyclic antidepressant with sedative effects. Amitriptyline affects certain chemical messengers (neurotransmitters) that communicate between brain cells and help regulate mood.'],Amitriptyline,"['bipolar disorder (manic-depression) or schizophrenia;', 'mental illness or psychosis;', 'liver disease;', 'heart disease;', 'a heart attack, stroke, or seizures;', 'diabetes (amitriptyline may raise or lower blood sugar);', 'glaucoma; or', 'problems with urination.']","['signs of a blood clot - sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg;', 'unusual thoughts or behavior;', 'a light-headed feeling, like you might pass out;', 'chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating;', 'pounding heartbeats or fluttering in your chest;', 'confusion, hallucinations;', 'a seizure (convulsions);', 'painful or difficult urination;', 'severe constipation;', 'easy bruising, unusual bleeding; or', 'fever, chills, sore throat, mouth sores.']","['Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.']"
3,"['Amlodipine is used to treat high blood pressure (hypertension), some types of angina and other conditions caused by coronary artery disease. Amlodipine is a calcium channel blocker that works by changing the movement of calcium in the heart and blood vessel cells. This widens the blood vessels which increases the blood and oxygen supply to the heart and also lowers blood pressure.']",Amlodipine,"['pounding heartbeats or fluttering in your chest;', 'worsening chest pain;', 'swelling in your feet or ankles;', 'severe drowsiness; or', 'a light-headed feeling, like you might pass out.']","['dizziness;', 'drowsiness;', 'feeling tired;', 'stomach pain;', 'nausea;', 'flushing (warmth, redness, or tingly feeling).']","['Get emergency medical help if you have signs of an allergic reaction to amlodipine: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.']"
4,['Amoxicillin is a penicillin antibiotic that fights bacteria.'],Amoxicillin,"['severe stomach pain; or', 'diarrhea that is watery or bloody (even if it occurs months after your last dose).']","['nausea, vomiting, diarrhea; or', 'rash.']",['You may store liquid amoxicillin in a refrigerator but do not allow it to freeze. Throw away any liquid mediicne that is not used within 14 days after it was mixed at the pharmacy.']
5,['Ativan belongs to a group of drugs called benzodiazepines (ben-zoe-dye-AZE-eh-peens). It is thought that lorazepam works by enhancing the activity of certain neurotransmitters in the brain.'],Ativan,"['asthma, chronic obstructive pulmonary disease (COPD), sleep apnea, or other breathing disorder;', 'drug or alcohol addiction;', 'depression, mood problems, or suicidal thoughts or behavior;', 'kidney or liver disease;', 'seizures; or', 'an allergy to aspirin or yellow food dye.']","['severe drowsiness;', 'unusual changes in mood or behavior, being agitated or talkative;', 'sudden restless feeling or excitement;', 'thoughts of suicide or hurting yourself;', 'confusion, aggression, hallucinations;', 'sleep problems;', 'vision changes; or', 'dark urine, or jaundice (yellowing of the skin or eyes).']",['Usual Pediatric Dose for Anxiety:']
6,"['Atorvastatin belongs to a group of drugs called HMG CoA reductase inhibitors, or ""statins.""']",Atorvastatin,"['liver problems;', 'muscle pain or weakness;', 'kidney disease;', 'diabetes;', 'a thyroid disorder; or', 'if you drink more than 2 alcoholic beverages daily.']","['uncontrolled seizures;', 'an electrolyte imbalance (such as high or low potassium levels in your blood);', 'severely low blood pressure;', 'a severe infection or illness; or', 'surgery or a medical emergency.']",['Minimize drinking alcohol. It can raise triglyceride levels and may increase your risk of liver damage.']
7,['Azithromycin is an antibiotic that fights bacteria.'],Azithromycin,"['liver disease;', 'kidney disease;', 'myasthenia gravis;', 'a heart rhythm disorder;', 'low levels of potassium in your blood; or', 'long QT syndrome (in you or a family member).']","['severe stomach pain, diarrhea that is watery or bloody;', 'fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); or', 'liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).']",['Call your doctor at once if you have:']
8,['Benzonatate is a non-narcotic cough medicine.'],Benzonatate,"['headache, dizziness;', 'nausea, upset stomach;', 'constipation;', 'itching, rash; or', 'stuffy nose.']",['Can benzonatate be used for a sore throat?'],"['100 mg to 200 mg orally three times a day as needed for cough', '', 'Comments: This drug should be swallowed whole.', '', 'Use: Symptomatic relief of cough']"
9,['Brilinta prevents platelets in your blood from sticking together to form an unwanted blood clot that could block an artery.'],Brilinta,"['a stroke;', 'heart problems;', 'high cholesterol;', 'bleeding problems;', 'a stomach ulcer or colon polyps;', 'liver disease; or', 'kidney disease;', 'asthma, COPD (chronic obstructive pulmonary disorder) or other breathing problems;', 'recent surgery or serious injuries; or', 'if you are planning to have surgery or a dental procedure; or']","['chest pain;', 'fainting or dizzy spells;', 'nosebleeds, or any bleeding that will not stop;', 'shortness of breath even with mild exertion or while lying down;', 'easy bruising, unusual bleeding, purple or red spots under your skin;', 'red, pink, or brown urine;', 'black, bloody, or tarry stools; or', 'coughing up blood or vomit that looks like coffee grounds.']","['Following an acute coronary syndrome (ACS) event:', '', 'Loading dose: 180 mg orally once', 'Maintenance dose: 90 mg orally twice a day for 1 year', 'Maintenance dose after 1 year: 60 mg orally twice a day', '', 'Comments:', '-This drug should be taken in conjunction with a daily maintenance dose of aspirin 75 to 100 mg orally once a day.', '-For at least the first 12 months following ACS, this drug is superior to clopidogrel.', '', 'Uses:', '-To reduce the rate of cardiovascular death, myocardial infarction, and stroke in patients with acute coronary syndrome (ACS) or a history of myocardial infarction.', '-To reduce the rate of stent thrombosis in patients who have been stented for treatment of ACS.']"
